alpha,CL,CD
-11.5,-0.9878,0.01142
-11,-0.9212,0.01073
-10.5,-0.8533,0.01011
-10,-0.7861,0.00949
-9.5,-0.7194,0.00894
-9,-0.6512,0.0085
-8.5,-0.583,0.0082
-8,-0.5152,0.00796
-7.5,-0.448,0.00767
-7,-0.3812,0.00736
-6.5,-0.3143,0.00721
-6,-0.2479,0.00707
-5.5,-0.182,0.00687
-5,-0.1154,0.00677
-4.5,-0.0502,0.00663
-4,0.0159,0.00656
-3.5,0.0814,0.00644
-3,0.1472,0.00638
-2.5,0.2124,0.00632
-2,0.2784,0.00622
-1.5,0.3434,0.00618
-1,0.4083,0.00614
-0.5,0.4745,0.00607
0,0.5398,0.00603
0.5,0.6037,0.00607
1,0.6688,0.00607
1.5,0.7338,0.00607
2,0.7961,0.00618
2.5,0.8607,0.0062
3,0.9218,0.00633
3.5,0.9851,0.00635
4,1.0441,0.00647
4.5,1.1051,0.00659
5,1.1642,0.00678
5.5,1.22,0.00708
6,1.2707,0.00739
6.5,1.3176,0.00774
7,1.3657,0.00824
7.5,1.4118,0.00895
8,1.4538,0.00985
9,1.5355,0.01194
9.5,1.5721,0.0133
10,1.6064,0.01484
10.5,1.6386,0.01664
11,1.6697,0.01866
11.5,1.6981,0.02093
12,1.7196,0.02389
12.5,1.748,0.02664
13,1.7598,0.03067
13.5,1.7788,0.03443
14,1.7923,0.03881
14.5,1.7938,0.04427
15,1.7969,0.04968
15.5,1.8003,0.05531
16,1.7962,0.06173
16.5,1.7825,0.06908
17,1.7637,0.07706
17.5,1.7532,0.08448
18,1.7431,0.09204
18.5,1.7296,0.0999
19,1.7151,0.108
19.5,1.7112,0.11513
20,1.6939,0.12391
