alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-21,-0.7421,0.16299,0.16147,-0.0372,1,0.0169,-6.4657,0,0.1541,,
-20,-0.8158,0.13407,0.13233,-0.0548,1,0.0181,-7.241,0,0.1404,,
-19,-0.9136,0.10434,0.10234,-0.0727,1,0.0185,-8.0385,0,0.1318,,
-18,-1.2898,0.04128,0.03837,-0.1147,1,0.0179,-10.9038,0,0.1299,,
-17,-1.3297,0.02621,0.02289,-0.1217,0.9992,0.0183,-10.7873,0,0.1307,,
-16,-1.2463,0.02091,0.01735,-0.1263,0.9933,0.0187,-9.914,0,0.1228,,
-15,-1.1751,0.0182,0.01445,-0.1214,0.9708,0.0188,-9.093,0,0.1227,,
-14,-1.1011,0.01538,0.01125,-0.1155,0.9444,0.0208,-8.3348,0,0.1227,,
-13,-1.0049,0.01343,0.00912,-0.1119,0.9219,0.0234,-7.4897,0,0.1174,,
-12,-0.8985,0.01208,0.00763,-0.1096,0.8951,0.0259,-6.6266,0,0.1078,,
-11,-0.7863,0.01117,0.00656,-0.108,0.865,0.0269,-5.7811,0,0.093,,
-10,-0.6747,0.01005,0.00527,-0.1065,0.8364,0.0315,-5.0057,0,0.0728,,
-9,-0.5605,0.0093,0.00438,-0.1055,0.7995,0.0357,-4.2589,0,0.0424,,
-8,-0.4442,0.00865,0.00363,-0.1048,0.7674,0.0417,-3.637,0,-0.0063,,
-7,-0.3273,0.00816,0.00304,-0.1044,0.7299,0.047,-3.05,0,-0.0917,,
-6,-0.2113,0.00775,0.00252,-0.1039,0.6845,0.0583,-2.5081,0,-0.27,,
-5,-0.0941,0.00743,0.00213,-0.1037,0.6435,0.0718,-2.0263,0,-0.9019,,
-4,0.0224,0.00725,0.00185,-0.1035,0.5967,0.0881,-1.6143,0,5.0319,,
-3,0.1393,0.00704,0.00164,-0.1035,0.559,0.1168,-1.2461,0,1.0098,,
-2,0.2557,0.00695,0.00153,-0.1035,0.5208,0.1513,-0.9352,0,0.6594,,
-1,0.3724,0.0069,0.0015,-0.1036,0.49,0.1946,-0.8967,0,0.5282,,
0,0.4897,0.00683,0.00153,-0.1038,0.4671,0.2514,-0.9939,0,0.4595,,
1,0.6064,0.0068,0.00163,-0.1041,0.4467,0.3238,-1.0988,0,0.4172,,
2,0.7204,0.00667,0.00182,-0.1039,0.4243,0.4765,-1.2109,0,0.3884,,
3,0.8355,0.00645,0.00206,-0.104,0.412,0.6659,-1.3351,0,0.3673,,
4,0.9467,0.00642,0.00243,-0.1031,0.3906,0.8455,-1.4706,0,0.3504,,
5,1.0516,0.0067,0.00288,-0.1005,0.3641,0.9821,-1.6188,0,0.3358,,
6,1.1762,0.00738,0.0034,-0.1028,0.3304,1,-1.8155,0,0.3263,,
7,1.2692,0.00822,0.00404,-0.0985,0.2897,1,-2.0366,0,0.315,,
8,1.354,0.00928,0.00492,-0.0927,0.2503,1,-2.3134,0,0.3044,,
9,1.4339,0.01072,0.00614,-0.0866,0.2061,1,-2.6393,0,0.2947,,
10,1.5019,0.01278,0.00797,-0.0791,0.1584,1,-2.9878,0,0.2853,,
11,1.5644,0.0153,0.01034,-0.0717,0.1225,1,-3.3695,0,0.2767,,
12,1.6157,0.01875,0.01365,-0.0639,0.0914,1,-3.7528,0,0.2685,,
13,1.6623,0.0229,0.0178,-0.057,0.0715,1,-4.1738,0,0.2612,,
14,1.7003,0.02828,0.02321,-0.0509,0.0579,1,-4.5848,0,0.2547,,
15,1.7255,0.03537,0.03038,-0.0456,0.0468,1,-4.9676,0,0.2489,,
16,1.739,0.04426,0.03939,-0.0415,0.0395,1,-5.3393,0,0.2439,,
17,1.748,0.05425,0.04957,-0.0388,0.0351,1,-5.7292,0,0.2397,,
18,1.7358,0.06695,0.06247,-0.0372,0.0309,1,-6.0378,0,0.2364,,
19,1.7156,0.08107,0.07681,-0.0371,0.0268,1,-6.306,0,0.2339,,
20,1.6965,0.09558,0.09157,-0.0384,0.0257,1,-6.5733,0,0.2322,,
21,1.6731,0.11062,0.10682,-0.0409,0.0234,1,-6.8097,0,0.2312,,
22,1.6355,0.12828,0.12472,-0.046,0.0203,1,-6.9503,0,0.2319,,
23,1.6158,0.14359,0.14026,-0.0517,0.0187,1,-7.162,0,0.2328,,
24,1.5942,0.15979,0.15671,-0.0593,0.0181,1,-7.341,0,0.2349,,
25,1.5766,0.17588,0.17301,-0.0683,0.0169,1,-7.522,0,0.2378,,
